sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,ra,dec,pl_x,pl_y,pl_z
2,1,Radial Velocity,2007,326.03,1.29,,6165.6,0.231,,,4742,19,2.7,185.1787793,17.7932516,-0.948278555,-0.085945997,0.305583159
1,1,Radial Velocity,2009,516.21997,1.53,,4684.8142,0.08,,,4213,29.79,2.78,229.2745954,71.8239428,-0.203519056,-0.236400629,0.950102487
1,1,Radial Velocity,2008,185.84,0.83,,1525.5,0,,,4813,11,2.2,352.82415,39.2358367,0.768482322,-0.096752829,0.632513882
1,1,Radial Velocity,2002,1773.40002,2.93,,1481.0878,0.37,,,5338,0.93,0.9,242.6021014,43.8163621,-0.332039431,-0.640626504,0.692349261
3,1,Radial Velocity,1996,798.5,1.66,,565.7374,0.68,,,5750,1.13,1.08,295.4656422,50.5168243,0.273396977,-0.574074357,0.771811328
2,1,Radial Velocity,2008,993.3,2.6,,3273.5,0.08,,,4979,8.5,2.3,314.6078375,10.8391378,0.689721612,-0.699228466,0.188052255
1,1,Imaging,2008,,330,,3000,,,1700,4060,,0.85,242.3762343,-21.0831403,-0.432625677,-0.826701225,-0.359722264
1,1,Radial Velocity,2018,30.3506,0.19,,289.2253,0.042,,,4893,10.64,0.99,217.1555242,49.8446488,-0.513954598,-0.38948433,0.764298782
1,2,Radial Velocity,2010,452.8,1.333,,632.46,0.09,,,5098,4.9,1.54,155.8684866,-0.9023998,-0.912496265,0.408781763,-0.015749197
1,2,Radial Velocity,2010,883,2.08,,273.32,0.29,,,5098,4.9,1.54,155.8684866,-0.9023998,-0.912496265,0.408781763,-0.015749197
2,1,Imaging,2013,,84,,4131.79,,,,,,0.19,15.8992489,-55.2658291,0.547973146,0.156086491,-0.82180438
1,1,Imaging,2013,,52,,7786.5,,,,3530,,0.4,20.7128012,-24.6646128,0.850028023,0.321415875,-0.417305878
1,1,Imaging,2015,,156,16.141,4417.837,,,,3064,0.28,0.11,34.8427046,-39.4230767,0.633990819,0.441336256,-0.635041691
1,1,Imaging,2010,,15,,2383.6,,,,,,0.02,70.4371079,23.0308544,0.308152608,0.867169869,0.391226774
1,1,Imaging,2004,,55,,1589.15,,,1250,,,0.02,181.8890906,-39.5484399,-0.770667467,-0.025418773,-0.636730352
2,1,Timing Variation,2015,416,0.92,,603.877,,,,,,0.48,294.6359173,46.0664076,0.289221081,-0.630668804,0.720144448
