pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,ra,dec
K2-174 b,1,1,Transit,2018,19.562307,0.126,2.6,,,,455,4455,0.68,0.7,60.7929729,16.347166
K2-175 b,1,1,Transit,2018,9.525988,,2.038,,,,,5909,1.42,1.09,52.5035514,17.5841081
K2-176 b,1,1,Transit,2018,5.329439,,1.491,,,,,5428,0.86,0.94,58.2691796,17.9069486
K2-177 b,1,1,Transit,2018,14.155185,,2.116,,,,,6063,1.21,1.21,55.2296156,20.7360891
K2-178 b,1,1,Transit,2018,8.747818,,3.558,,,,,5525,0.89,0.95,52.8888524,22.4348186
K2-179 b,1,1,Transit,2018,5.172191,,2.513,,,,,5015,0.77,0.82,58.7967878,23.7567524
K2-18 b,1,2,Transit,2015,32.939623,0.1429,2.37,8.92,0.2,,284,3457,0.41,0.36,172.560141,7.5878315
K2-18 c,1,2,Radial Velocity,2017,8.962,0.06,,7.51,0.47,,363,3457,0.41,0.36,172.560141,7.5878315
K2-180 b,1,1,Transit,2018,8.867209,0.0753,2.31,,,,731,5358,0.72,0.72,126.4643579,10.246577
K2-181 b,1,1,Transit,2018,6.894256,0.0706,2.84,,,,962,5608,1.07,0.99,127.5541103,10.9101444
K2-182 b,1,1,Transit,2018,4.736837,0.0529,2.76,,,,885,5165,0.8,0.88,130.180046,10.9829509
K2-183 b,1,3,Transit,2018,0.469269,,2.599,,,,,5482,0.87,0.94,125.007177,14.0194586
K2-183 c,1,3,Transit,2018,10.792635,0.0932,2.87,,,,787,5519,0.97,0.93,125.007177,14.0194586
K2-183 d,1,3,Transit,2018,22.631964,0.1527,2.86,,,,615,5519,0.97,0.93,125.007177,14.0194586
K2-184 b,1,1,Transit,2018,16.995731,0.1229,1.55,,,,580,5220,0.78,0.86,129.1405227,14.4618826
K2-185 b,1,1,Transit,2018,10.616646,,1.313,,,,,5722,0.91,0.98,130.2596625,14.6902225
K2-186 b,1,1,Transit,2018,41.474219,,3.172,,,,,5784,0.98,1.02,135.3350487,18.8252879
K2-187 b,1,4,Transit,2018,0.77392,0.0164,1.3,,,,1815,5484,0.92,0.98,132.5235618,23.1924709
K2-187 c,1,4,Transit,2018,2.872042,0.0392,1.8,,,,1173,5484,0.92,0.98,132.5235618,23.1924709
K2-187 d,1,4,Transit,2018,7.14921,0.072,3.17,,,,865,5484,0.92,0.98,132.5235618,23.1924709
K2-187 e,1,4,Transit,2018,13.609878,0.1106,2.38,,,,698,5484,0.92,0.98,132.5235618,23.1924709
K2-188 b,1,2,Transit,2018,1.742169,0.0289,1.35,,,,1692,5977,1.19,1.06,129.8137008,23.3574367
K2-188 c,1,2,Transit,2018,7.810253,0.0785,2.83,,,,1026,5977,1.19,1.06,129.8137008,23.3574367
K2-189 b,1,2,Transit,2018,2.588309,0.0361,1.52,,,,1197,5519,0.87,0.94,203.6214411,-15.0365158
K2-189 c,1,2,Transit,2018,6.679195,0.068,2.5,,,,872,5519,0.87,0.94,203.6214411,-15.0365158
K2-19 b,1,3,Transit,2015,7.9194,0.074,7.74,,,125.9,854,5430,0.86,0.93,174.9602543,0.603596
K2-19 c,1,3,Transit,2015,11.90715,0.0971,4.86,,,73.1,745,5430,0.86,0.93,174.9602543,0.603596
K2-19 d,1,3,Transit,2016,2.50856,0.0344,1.14,,,583.5,1252,5430,0.86,0.93,174.9602543,0.603596
K2-190 b,1,2,Transit,2018,10.098858,,1.357,,,,,5631,0.91,0.9,205.3630485,-13.1608686
K2-190 c,1,2,Transit,2018,21.574023,,1.093,,,,,5631,0.91,0.9,205.3630485,-13.1608686
K2-191 b,1,1,Transit,2018,2.858646,,1.579,,,,,5176,0.84,0.9,201.6391407,-12.8066737
K2-192 b,1,1,Transit,2018,4.162817,0.049,1.52,,,,939,5222,0.81,0.9,206.5823122,-11.5563527
K2-193 b,1,1,Transit,2018,14.786889,0.1184,3.95,,,,739,5817,0.98,1.01,205.2371043,-11.0093342
K2-194 b,1,1,Transit,2018,39.721386,,3.642,,,,,5979,1.28,1.11,204.6089755,-8.9271609
K2-195 b,1,2,Transit,2018,15.852975,0.1208,3.13,,,,720,5713,0.99,0.94,199.8315191,-8.5095364
K2-195 c,1,2,Transit,2018,28.482786,,2.576,,,,,5712,0.91,0.96,199.8315191,-8.5095364
K2-196 b,1,1,Transit,2018,48.324222,,3.6,,,,,6045,1.54,1.16,200.4562487,-8.4717104
K2-197 b,1,1,Transit,2018,8.357881,0.0806,2.56,,,,848,5667,0.93,1,202.3934779,-7.3739779
K2-198 b,1,3,Transit,2018,17.0428683,,4.189,,,,716,5212.9,0.76,0.8,198.8436817,-6.4649888
K2-198 c,1,3,Transit,2019,3.3596055,,1.423,,,,1230,5212.9,0.76,0.8,198.8436817,-6.4649888
K2-198 d,1,3,Transit,2019,7.4500177,,2.438,,,,943,5212.9,0.76,0.8,198.8436817,-6.4649888
K2-199 b,1,2,Transit,2018,3.225338,0.0385,1.87,,,,861,4648,0.68,0.73,208.9014508,-6.1360833
K2-199 c,1,2,Transit,2018,7.374694,0.0668,2.78,,,,653,4648,0.68,0.73,208.9014508,-6.1360833
K2-200 b,1,1,Transit,2018,2.849883,,1.364,,,,,5233,0.79,0.86,202.251206,-4.6100532
K2-201 b,1,2,Transit,2018,1.05979,,1.4,,,,,5507,0.88,0.96,293.5607117,-23.1312775
K2-201 c,1,2,Transit,2018,22.779878,,3.286,,,,,5507,0.88,0.96,293.5607117,-23.1312775
K2-202 b,1,1,Transit,2018,3.405164,,2.302,,,,,5491,0.91,0.97,283.2643203,-22.4070553
K2-203 b,1,1,Transit,2018,9.695101,,1.371,,,,,5000,0.76,0.79,12.7736909,-1.1958844
K2-204 b,1,1,Transit,2018,7.055784,,3.046,,,,,5755,1.18,1.01,17.3825067,-0.5177539
K2-205 b,1,1,Transit,2018,26.672263,,1.996,,,,,5890,1.08,0.95,15.2175909,0.425966
K2-206 b,1,1,Transit,2018,18.294549,,2.795,,,,,5043,0.76,0.79,11.2564264,0.5931866
K2-207 b,1,1,Transit,2018,12.48749,,2.606,,,,,5522,0.93,0.94,11.6996481,0.6406182
K2-208 b,1,1,Transit,2018,4.190948,,1.679,,,,,5582,0.86,0.93,20.7789809,0.8890076
K2-209 b,1,1,Transit,2018,2.080615,,0.869,,,,,4720,0.71,0.74,14.6903464,1.382807
K2-21 b,1,2,Transit,2015,9.325038,0.076,1.84,,0.1,10,,4222.06,0.65,0.68,340.3037846,-14.4893256
K2-21 c,1,2,Transit,2015,15.50192,0.107,2.49,,0.21,5.1,,4222.06,0.65,0.68,340.3037846,-14.4893256
K2-210 b,1,1,Transit,2018,0.570233,,0.819,,,,,5396,0.85,0.91,17.6412694,1.5784137
K2-211 b,1,1,Transit,2018,0.669558,,1.375,,,,,5221,0.82,0.88,21.1061587,1.7049101
K2-212 b,1,1,Transit,2018,9.79551,0.0785,2.52,,,,542,4272,0.65,0.67,18.4241015,3.0970732
K2-213 b,1,1,Transit,2018,8.13087,,1.514,,,,,5794,1.2,1.07,13.1403998,3.5077702
K2-214 b,1,1,Transit,2018,8.596802,0.0834,2.43,,,,1006,5854,1.27,1.05,14.8759777,4.2277722
K2-215 b,1,1,Transit,2018,8.269648,,2.124,,,,,5704,0.97,1,18.4700795,6.1238647
K2-216 b,1,1,Transit,2018,2.1748,0.028,1.75,8,0,248,1103,4503,0.72,0.7,11.4802354,6.3470302
K2-217 b,1,1,Transit,2018,14.074524,,3.579,,,,,5967,1.33,1.1,11.2983678,6.4815879
K2-218 b,1,1,Transit,2018,8.679885,,2.569,,,,,5757,1.01,1.05,12.809613,6.8464327
K2-219 b,1,3,Transit,2018,3.901287,,1.348,,,,,5753,1.19,1.02,12.8452963,8.8675474
K2-219 c,1,3,Transit,2018,6.66767,,1.438,,,,,5753,1.19,1.02,12.8452963,8.8675474
K2-219 d,1,3,Transit,2018,11.137278,,2.576,,,,,5753,1.19,1.02,12.8452963,8.8675474
K2-22 b,2,1,Transit,2015,0.381078,0.0088,2.5,444.962,,,2100,3830,0.57,0.6,169.4827046,2.6190363
K2-220 b,1,1,Transit,2018,13.683256,0.1104,2.39,,,,758,5660,1.02,0.96,12.7700071,9.5167694
K2-221 b,1,1,Transit,2018,2.399094,,1.679,,,,,5716,0.95,1.01,16.6550286,10.1897385
K2-222 b,1,1,Transit,2018,15.387063,0.1211,2.39,,,,801,6058,1.09,1,16.4625203,11.7537171
K2-223 b,1,2,Transit,2018,0.50565,0.0127,0.89,,,,2271,5835,0.99,1.06,185.306183,-10.2820915
K2-223 c,1,2,Transit,2018,4.56327,0.0549,1.57,,,,1091,5835,0.99,1.06,185.306183,-10.2820915
K2-224 b,1,2,Transit,2018,4.47904,0.0516,1.56,,,,1002,5620,0.84,0.91,189.7041426,-10.0605942
K2-224 c,1,2,Transit,2018,10.09489,0.0886,2.41,,,,764,5620,0.84,0.91,189.7041426,-10.0605942
K2-225 b,1,1,Transit,2018,15.87209,0.134,3.49,,,,902,5742,1.7,1.27,186.5410958,-9.6248232
K2-226 b,1,1,Transit,2018,3.27108,0.0413,1.54,,,,1120,5424,0.91,0.88,183.6456643,-9.5626286
K2-227 b,1,1,Transit,2018,13.621832,,1.666,,,,,5673,0.89,0.95,190.9484237,-8.4784159
K2-228 b,1,1,Transit,2018,2.69828,0.0338,1.21,,,,914,4715,0.65,0.71,187.2947047,-6.8342028
K2-229 b,1,2,Transit,2018,0.58426,0.0131,1.14,,,,1818,5315,0.79,0.87,186.8729195,-6.7218474
K2-229 c,1,2,Transit,2018,8.32727,0.0769,2.03,,,,750,5315,0.79,0.87,186.8729195,-6.7218474
K2-230 b,1,1,Transit,2018,2.86041,0.0409,1.96,,,,1529,5945,1.39,1.11,191.363117,-6.576051
K2-231 b,1,1,Transit,2018,13.841901,,2.5,,,,,5695,0.95,1.01,289.0918242,-15.7712178
K2-232 b,1,1,Transit,2018,11.168454,0.10356,11.209,126.49634,0.258,,1030,6154,1.16,1.19,73.7667927,18.654323
K2-233 b,1,3,Transit,2018,2.46746,0.03317,1.398,,0,273,1040,4950,0.74,0.8,230.4799011,-20.2317975
K2-233 c,1,3,Transit,2018,7.06142,0.06687,1.335,,0,67.1,728,4950,0.74,0.8,230.4799011,-20.2317975
K2-233 d,1,3,Transit,2018,24.3662,0.1527,2.64,,0,12.9,482,4950,0.74,0.8,230.4799011,-20.2317975
K2-237 b,1,1,Transit,2018,2.1805577,0.0353,18.405,392.83788,0,,1838,6099,1.38,1.23,253.7688479,-28.7105836
K2-238 b,1,1,Transit,2018,3.20466,0.046,14.572,273.3338,0,,1587,5630,1.59,1.19,347.7043164,-7.8575592
K2-239 b,1,3,Transit,2018,5.24,0.0441,1.1,,,,502,3420,0.36,0.4,160.5941265,4.4413751
K2-239 c,1,3,Transit,2018,7.775,0.0576,1,,,,427,3420,0.36,0.4,160.5941265,4.4413751
K2-239 d,1,3,Transit,2018,10.115,0.0685,1.1,,,,399,3420,0.36,0.4,160.5941265,4.4413751
K2-24 b,1,2,Transit,2016,20.88977,,5.4,19,0.06,,,5625,1.16,1.07,242.5734559,-24.9906029
K2-24 c,1,2,Transit,2016,42.3391,,7.5,15.4,0.07,,,5625,1.16,1.07,242.5734559,-24.9906029
K2-240 b,1,2,Transit,2018,6.034,0.0513,2,,,,586,3810,0.54,0.58,227.849371,-17.8754464
K2-240 c,1,2,Transit,2018,20.523,0.1159,1.8,,,,389,3810,0.54,0.58,227.849371,-17.8754464
K2-241 b,1,1,Transit,2018,26.8199,0.1567,2.55,,,,507,5262,0.75,0.71,181.2386829,-6.8052985
K2-242 b,1,1,Transit,2018,6.51389,0.0494,2.54,,,,416,3459,0.37,0.38,179.8358421,-6.5178542
K2-243 b,1,2,Transit,2018,11.54182,0.1087,2.17,,,,1035,6570,1.39,1.29,181.1211419,-4.8991358
K2-243 c,1,2,Transit,2018,24.94598,0.1817,2.01,,,,801,6570,1.39,1.29,181.1211419,-4.8991358
K2-244 b,1,1,Transit,2018,21.06884,0.1418,1.75,,,,638,5677,0.92,0.86,183.4686492,-3.8318097
K2-245 b,1,1,Transit,2018,11.89307,0.0959,4.34,,,,923,5793,1.25,0.83,185.181563,-1.5909138
K2-246 b,1,1,Transit,2018,5.76918,0.0602,3.49,,,,977,5610,0.94,0.87,181.6296115,-1.1606
K2-247 b,1,2,Transit,2018,2.25021,0.0304,2.12,,,,979,4667,0.69,0.74,188.8935189,-10.0692793
K2-247 c,1,2,Transit,2018,6.49424,0.0615,2.19,,,,688,4667,0.69,0.74,188.8935189,-10.0692793
K2-248 b,1,1,Transit,2018,7.17256,0.0699,2.57,,,,886,5528,0.92,0.88,182.8173343,-9.4141696
K2-249 b,1,1,Transit,2018,12.409,0.1151,2.79,,,,1061,6504,1.57,1.32,183.3667344,-8.9952309
K2-25 b,1,1,Transit,2015,3.484552,,3.43,,0.27,,,3180,0.29,0.29,63.2739346,15.2477027
K2-250 b,1,1,Transit,2018,4.01457,0.0459,2.44,,,,958,5172,0.81,0.8,185.0315429,-8.9757427
K2-251 b,1,1,Transit,2018,9.30075,0.0694,2.35,,,,437,3717,0.49,0.52,190.6892403,-8.5359826
K2-252 b,1,1,Transit,2018,13.81513,0.1041,1.74,,,,639,5152,0.82,0.79,182.3663818,-8.3096141
K2-253 b,1,1,Transit,2018,4.00167,0.0506,12.67,,,,1238,6027,1.1,1.08,186.0853062,-6.3789537
K2-254 b,1,2,Transit,2018,4.09639,0.0448,1.63,,,,791,4629,0.67,0.71,185.5507926,-4.7172908
K2-254 c,1,2,Transit,2018,12.11839,0.0923,2.19,,,,551,4629,0.67,0.71,185.5507926,-4.7172908
K2-255 b,1,1,Transit,2018,1.96417,0.0274,2.9,,,,1034,4676,0.69,0.71,189.9128532,-3.3705631
K2-256 b,1,1,Transit,2018,5.52011,0.0578,2.63,,,,845,5219,0.78,0.84,186.2270991,-2.0660477
K2-257 b,1,1,Transit,2018,1.60588,0.0216,0.83,,,,789,3725,0.5,0.52,188.278284,-1.9532879
K2-258 b,1,1,Transit,2018,19.0921,0.149,3,,,,831,6351,1.31,1.21,187.6314027,-1.1609171
K2-259 b,1,1,Transit,2018,15.48043,0.1271,2.32,,,,795,6059,1.13,1.14,186.8026947,1.5668631
K2-26 b,1,1,Transit,2016,14.5665,0.0962,2.67,,,5.8,430,3785,0.52,0.56,94.2064312,24.5958335
K2-260 b,1,1,Transit,2018,2.6266657,0.0404,17.396,451.3186,0,,1957,6367,1.69,1.39,76.8673317,16.8676948
K2-261 b,1,1,Transit,2018,11.63344,0.102,9.528,70.87609,0.39,,1080,5537,1.65,1.1,163.0323119,0.493167
K2-263 b,1,1,Transit,2018,50.818947,0.2573,2.41,14.8,0.14,,470,5368,0.85,0.88,129.6821253,15.6806039
K2-264 b,1,2,Transit,2018,5.840002,0.05023,2.231,,,,496,3660,0.47,0.5,131.3583524,19.698401
K2-264 c,1,2,Transit,2018,19.660302,0.11283,2.668,,,,331,3660,0.47,0.5,131.3583524,19.698401
K2-265 b,2,1,Transit,2018,2.369172,0.03376,1.71,6.54,0.084,,,5477,0.98,0.92,342.0316493,-14.4947789
K2-266 b,2,4,Transit,2018,0.658524,0.01306,3.3,11.26782,,879.5,1515,4285,0.7,0.69,157.9356855,0.9372782
K2-266 c,2,4,Transit,2018,7.814,0.0679,0.705,0.29013,0.042,32.4,664,4285,0.7,0.69,157.9356855,0.9372782
K2-266 d,2,4,Transit,2018,14.697,0.1035,2.93,8.9,0.047,13.95,538,4285,0.7,0.69,157.9356855,0.9372782
K2-266 e,2,4,Transit,2018,19.482,0.1249,2.73,14.3,0.043,9.58,490,4285,0.7,0.69,157.9356855,0.9372782
K2-268 b,1,2,Transit,2018,2.151894,0.0308,1.41,,,,1121,5068,0.78,0.84,133.7094899,11.8482712
K2-268 c,1,2,Transit,2018,9.326841,0.0819,2.69,,,,688,5068,0.78,0.84,133.7094899,11.8482712
K2-269 b,1,1,Transit,2018,4.144965,0.0531,1.57,,,,1429,6209,1.45,1.16,130.1551381,13.0146799
K2-27 b,3,1,Transit,2016,6.771315,0.06702,4.48,30.9,0.251,116,902,5248,0.89,0.87,171.5151874,1.2306237
K2-270 b,1,2,Transit,2018,1.543069,0.0247,1.38,,,,1203,4877,0.77,0.85,131.2665588,13.5497322
K2-270 c,1,2,Transit,2018,4.400028,0.0497,2.95,,,,848,4877,0.77,0.85,131.2665588,13.5497322
K2-271 b,1,1,Transit,2018,8.562421,0.077,7.28,,,,893,5644,0.99,0.83,125.2239144,16.0907958
K2-272 b,1,1,Transit,2018,14.453533,0.1081,2.91,,,,655,5419,0.81,0.81,132.6211743,17.5423852
K2-273 b,1,1,Transit,2018,11.716332,0.0974,4.42,,,,672,5200,0.84,0.9,129.7768928,19.0100046
K2-274 b,1,1,Transit,2018,14.129714,0.1064,2.2,,,,589,5065,0.74,0.81,129.2823699,20.3992512
K2-275 b,1,2,Transit,2018,3.280961,0.04,2.24,,,,905,4812,0.73,0.79,132.1698795,20.4550162
K2-275 c,1,2,Transit,2018,8.438756,0.075,2.34,,,,660,4812,0.73,0.79,132.1698795,20.4550162
K2-276 b,1,1,Transit,2018,18.718269,0.1291,3.77,,,,583,5139,0.85,0.82,125.9528309,22.6339399
K2-277 b,1,1,Transit,2018,6.326763,0.0675,2.07,,,,958,5741,0.97,1.02,202.0161895,-15.9379749
K2-278 b,1,1,Transit,2018,3.334966,0.0488,2.98,,,,1711,6747,1.61,1.4,203.3018653,-14.5041057
K2-279 b,1,1,Transit,2018,7.122605,0.067,1.21,,,,879,5558,0.86,0.79,204.7792935,-6.0417592
K2-28 b,1,1,Transit,2016,2.260455,0.0214,2.32,,0,,568,3214,0.29,0.26,335.6233145,-7.9563525
K2-280 b,1,1,Transit,2018,19.895202,0.1488,7.67,,,,744,5742,1.28,1.11,291.5953596,-22.2477071
K2-281 b,1,1,Transit,2018,8.687721,0.0773,8.18,,,,665,4812,0.76,0.82,16.2274724,7.2692169
K2-282 b,1,2,Transit,2018,4.169836,0.0499,2.82,,,,1057,5523,0.94,0.95,13.4321524,7.9952914
K2-283 b,1,1,Transit,2018,1.921036,0.0291,3.52,,,,1186,5060,0.82,0.89,13.1943679,9.6929181
K2-284 b,1,1,Transit,2018,4.795069,0.04771,2.78,,0.078,42.6,653,4140,0.61,0.63,79.1407971,20.2549034
K2-285 b,1,4,Transit,2018,3.471745,0.03817,2.59,9.68,0,234.31,1089,4975,0.79,0.83,349.3843458,1.3001522
K2-285 c,1,4,Transit,2018,7.138048,0.0824,3.53,15.68,0,50.35,741,4975,0.79,0.83,349.3843458,1.3001522
K2-285 d,1,4,Transit,2018,10.45582,0.1178,2.48,6.5,0,24.61,620,4975,0.79,0.83,349.3843458,1.3001522
K2-285 e,1,4,Transit,2018,14.76289,0.18041,1.95,10.7,0,10.5,501,4975,0.79,0.83,349.3843458,1.3001522
K2-286 b,1,1,Transit,2018,27.359,0.1768,2.1,,,,347,3926,0.62,0.64,233.3698192,-16.7737113
K2-287 b,1,1,Transit,2018,14.893291,0.1206,9.494,100.11645,0.478,,804,5695,1.07,1.06,233.0743401,-22.3583447
K2-288 B b,2,1,Transit,2018,31.393463,0.164,1.9,,,,226,3341,0.32,0.33,55.4442857,18.2684913
K2-289 b,1,1,Transit,2019,13.156969,0.107,9.1,,,,753,5529,1.02,0.95,246.6429443,-15.7925384
K2-29 b,2,1,Transit,2016,3.2588321,0.04217,13.339,232.0159,0.066,,1171,5358,0.86,0.94,62.670422,24.4016558
K2-290 b,3,2,Transit,2019,9.21165,0.0923,3.06,10.9,0,,1230,6302,1.51,1.19,234.8578846,-20.1988975
K2-290 c,3,2,Transit,2019,48.36685,0.305,11.276,246.00042,0,,676,6302,1.51,1.19,234.8578846,-20.1988975
K2-291 b,1,1,Transit,2019,2.225177,0.03261,1.589,6.49,0,633,,5520,0.9,0.93,76.44594,21.548199
K2-292 b,1,1,Transit,2019,16.9841,0.13,2.63,24.5,0.04,67,795,5725,1.09,1,205.3758786,-9.9460704
K2-293 b,1,1,Transit,2019,13.1225,,2.45,,,,750,5532,0.95,0.96,351.6064952,-6.0279068
K2-294 b,1,1,Transit,2019,2.50387,,1.66,,,,1425,5612,1.2,0.99,352.0516724,-7.6037856
K2-295 b,1,1,Transit,2018,4.024867,0.0451,10.054,106.47305,0,,852,4444,0.7,0.74,19.6101417,6.8167277
K2-3 b,1,3,Transit,2015,10.054626,,,6.48,0,,,3896,0.56,0.6,172.3353708,-1.4551364
K2-3 c,1,3,Transit,2015,24.646582,,,2.14,0,,,3896,0.56,0.6,172.3353708,-1.4551364
K2-3 d,1,3,Transit,2015,44.55646,,,2.8,0,,,3896,0.56,0.6,172.3353708,-1.4551364
K2-30 b,1,1,Transit,2016,4.098503,0.04839,11.646,184.02357,0,,1092,5425,0.84,0.9,52.3420548,22.2993491
K2-308 b,1,1,Transit,2019,3.38628,,9.916,,,,,6100,1.24,1.09,78.3391194,16.4141986
K2-31 b,2,1,Transit,2016,1.25785,0.022,11.882,563.83042,0,,,5280,0.78,0.91,245.4405531,-23.548273
K2-315 b,1,1,Transit,2020,3.1443189,,0.95,,,7.45,460,3300,0.2,0.17,228.0210932,-20.1081634
K2-316 b,1,2,Transit,2020,1.133,0.0147,1.33,,,,841,3436,0.38,0.41,233.6247336,-23.2594663
K2-316 c,1,2,Transit,2020,5.26,0.0582,1.83,,,,423,3436,0.38,0.41,233.6247336,-23.2594663
K2-317 b,1,1,Transit,2020,6.22,0.0542,2.93,,,,432,3387,0.38,0.4,228.6188638,-21.0227209
K2-318 b,1,1,Transit,2020,7.01,0.0911,1.66,,,,456,3851,0.55,0.56,232.4461375,-17.557463
K2-319 b,1,1,Transit,2020,26.68,0.1516,2.79,,,,641,5440,0.9,0.95,166.8010058,3.0399357
K2-32 b,2,4,Transit,2016,8.991828,0.08035,4.96,,,,,,0.84,0.86,252.426008,-19.5430504
K2-32 c,2,4,Transit,2016,20.66186,0.1399,2.74,,,,,,0.84,0.86,252.426008,-19.5430504
K2-32 d,2,4,Transit,2016,31.7142,0.1862,3.27,,,,,,0.84,0.86,252.426008,-19.5430504
K2-32 e,2,4,Transit,2019,4.34882,0.04951,1.01,,,,,,0.84,0.86,252.426008,-19.5430504
K2-320 b,1,1,Transit,2020,1.995,0.0142,2.62,,,,698,3157,0.3,0.12,163.2519122,5.3064776
K2-321 b,1,1,Transit,2020,2.298,0.041,1.95,,,,701,3855,0.58,0.6,156.4054989,2.5138829
K2-322 b,1,1,Transit,2020,8.205,0.0594,1.92,,,,635,4141,0.6,0.63,156.6226981,4.7640203
K2-323 b,1,1,Transit,2020,24.93,0.1275,2.1,,,,318,3710,0.55,0.48,159.4209874,6.2858689
K2-324 b,1,1,Transit,2020,3.262,0.0331,2.43,,,,707,3752,0.51,0.52,157.6222171,6.8636732
K2-325 b,1,1,Transit,2020,6.93,0.0419,2.2,,,,423,3287,0.3,0.27,353.9169507,-7.6867213
K2-326 b,1,1,Transit,2020,1.256,0.0198,2.28,,,,1114,3924,0.69,0.51,351.612262,1.3375909
K2-329 b,1,1,Transit,2020,12.4551225,0.1016,8.676,82.6358,0.0697,45.7,650,5282,0.82,0.9,351.1353785,-5.1641451
K2-33 b,1,1,Transit,2016,5.424865,,5.04,1175.971,0,,,3540,1.05,0.56,242.5613635,-19.3193831
K2-34 b,1,1,Transit,2016,2.995633,0.0426,13.96,,,,1559,6071,1.44,1.15,127.5787231,22.2359194
K2-35 b,1,2,Transit,2016,2.399964,0.031,1.32,,0.13,211,,4402.71,0.62,0.7,170.1031027,1.2858679
K2-35 c,1,2,Transit,2016,5.608352,0.055,1.93,,0.12,68,,4402.71,0.62,0.7,170.1031027,1.2858679
K2-36 b,1,2,Transit,2016,1.422614,0.0223,1.43,3.9,0,529,1224,4916,0.72,0.79,169.4490102,3.8665038
K2-36 c,1,2,Transit,2016,5.340888,0.054,3.2,7.8,0,90,788,4916,0.72,0.79,169.4490102,3.8665038
K2-37 b,1,3,Transit,2016,4.44117,0.0511,1.61,,,213.3,974,5413,0.85,0.9,243.4509662,-24.7870527
K2-37 c,1,3,Transit,2016,6.42904,0.0654,2.75,,,130.3,861,5413,0.85,0.9,243.4509662,-24.7870527
K2-37 d,1,3,Transit,2016,14.09189,0.1103,2.73,,,45.7,663,5413,0.85,0.9,243.4509662,-24.7870527
K2-38 b,1,2,Transit,2016,4.01593,,1.906,19.0698,,,,5757,1.38,2.24,240.0333095,-23.1894196
K2-38 c,1,2,Transit,2016,10.56103,0.0964,2.42,9.9,,128.3,858,5757,1.1,1.07,240.0333095,-23.1894196
K2-39 b,1,1,Transit,2016,4.60543,,6.277,28.6047,0,,,4881,2.97,0.66,338.3682095,-9.0229405
K2-4 b,1,1,Transit,2015,10.003417,0.078,2.1,,0.08,15.6,,4014.73,0.57,0.64,174.7455392,-3.9055746
K2-42 b,1,1,Transit,2016,6.68796,0.0617,2.15,,,44.1,,4613,0.64,0.7,176.6657559,-5.1720463
K2-43 b,1,2,Transit,2016,3.471149,,4.51,,,,939,3840.6,0.54,0.57,169.117028,-3.9754405
K2-43 c,1,2,Transit,2019,2.198884,,2.42,,,,1094,3840.6,0.54,0.57,169.117028,-3.9754405
K2-44 b,1,1,Transit,2016,5.657,0.06,2.433,,,,,5912,1.58,1.15,174.011661,-2.5209338
K2-45 b,1,1,Transit,2016,1.7292684,0.0224,6.71,,,100,,4103,0.45,0.5,169.6327547,-1.7740582
K2-46 b,1,1,Transit,2016,19.1541,0.13821,2.05,,,119,,6256,1.29,0.96,174.2662454,-0.90721
K2-47 b,1,1,Transit,2016,31.6372,0.1779,1.89,,,10.7,,5054,0.76,0.75,168.5825696,2.7805614
K2-48 b,1,1,Transit,2016,20.5065,0.1344,2.24,,,15.3,,4899,0.73,0.77,176.1233077,3.2723812
K2-49 b,1,1,Transit,2016,2.77065,0.0309,1.93,,,59,,4175,0.45,0.51,177.3202331,3.4755183
K2-5 b,1,2,Transit,2015,5.73594,0.0532,1.91,,,24.1,565,3930,0.57,0.61,169.3034598,-1.8778254
K2-5 c,1,2,Transit,2015,10.93241,0.0818,2.26,,,10.2,456,3930,0.57,0.61,169.3034598,-1.8778254
K2-50 b,1,2,Transit,2016,8.7529,0.0705,1.59,,,18.8,,4326,0.55,0.61,169.483654,5.988289
K2-52 b,1,1,Transit,2016,3.535055,0.054,18,,,,2004,7147,2.19,1.69,246.6114157,-24.9699462
K2-53 b,1,1,Transit,2016,12.20772,0.098,2.6,,,,665,5263,0.81,0.85,244.1419684,-20.4005984
K2-54 b,1,1,Transit,2016,9.7843,0.0671,1.15,,,6.1,,3798,0.38,0.42,338.0541631,-17.5440636
K2-55 b,1,1,Transit,2016,2.849258,0.03486,3.82,,,115,,4456,0.63,0.7,333.7518786,-17.2508002
K2-57 b,1,1,Transit,2016,9.0063,0.0746,2.1,,,24.1,,4434,0.62,0.68,342.6918241,-14.0700007
K2-58 b,1,3,Transit,2016,7.05254,0.0692,2.68,,,118,,5413,0.86,0.89,333.8218395,-14.049857
K2-58 c,1,3,Transit,2016,2.53726,0.035,1.62,,,462,,5413,0.86,0.89,333.8218395,-14.049857
K2-58 d,1,3,Transit,2016,22.8827,0.1517,1.71,,,24.6,,5413,0.86,0.89,333.8218395,-14.049857
K2-59 b,1,2,Transit,2016,20.6921,0.1354,2.41,,,17.1,,5055,0.73,0.77,338.94255,-14.027727
K2-59 c,1,2,Transit,2016,11.2954,0.0905,2.3,,,38.3,,5055,0.73,0.77,338.94255,-14.027727
K2-6 b,1,1,Transit,2015,30.94191,0.1898,2.5,,,,615,5850,0.96,0.97,178.1921152,-1.1984418
